孕 B-PERSON_GROUP
妇 E-PERSON_GROUP
慎 0
用 0
。 0
口 0
服 0
。 0
一 0
次 0
5 0
粒 0
， 0
一 0
日 0
3 0
次 0
， 0
饭 0
后 0
开 0
水 0
吞 0
服 0
或 0
遵 0
医 0
嘱 0
。 0
尚 0
不 0
明 0
确 0
。 0
清 B-DRUG_EFFICACY
热 M-DRUG_EFFICACY
利 M-DRUG_EFFICACY
湿 E-DRUG_EFFICACY
， 0
凉 B-DRUG_EFFICACY
血 M-DRUG_EFFICACY
止 M-DRUG_EFFICACY
血 E-DRUG_EFFICACY
。 0
用 0
于 0
急 0
、 0
慢 B-DISEASE_GROUP
性 M-DISEASE_GROUP
肾 M-DISEASE_GROUP
盂 M-DISEASE_GROUP
肾 M-DISEASE_GROUP
炎 E-DISEASE_GROUP
血 0
尿 0
， 0
肾 B-DISEASE_GROUP
小 M-DISEASE_GROUP
球 M-DISEASE_GROUP
肾 M-DISEASE_GROUP
炎 E-DISEASE_GROUP
血 B-SYMPTOM
尿 E-SYMPTOM
， 0
泌 B-DISEASE_GROUP
尿 M-DISEASE_GROUP
结 M-DISEASE_GROUP
石 E-DISEASE_GROUP
及 0
肾 B-DISEASE
挫 M-DISEASE
伤 E-DISEASE
引 0
起 0
的 0
血 B-SYMPTOM
尿 E-SYMPTOM
及 0
不 0
明 0
原 0
因 0
引 0
起 0
的 0
血 B-SYMPTOM
尿 E-SYMPTOM
， 0
亦 0
可 0
作 0
为 0
治 0
疗 0
泌 B-DISEASE_GROUP
尿 M-DISEASE_GROUP
系 M-DISEASE_GROUP
统 M-DISEASE_GROUP
肿 M-DISEASE_GROUP
瘤 E-DISEASE_GROUP
每 0
粒 0
装 0
0 0
. 0
4 0
2 0
g 0
江 0
苏 0
天 0
士 0
力 0
帝 0
益 0
药 0
业 0
有 0
限 0
公 0
司 0
清 B-DRUG_EFFICACY
热 M-DRUG_EFFICACY
利 M-DRUG_EFFICACY
湿 E-DRUG_EFFICACY
， 0
凉 B-DRUG_EFFICACY
血 M-DRUG_EFFICACY
止 M-DRUG_EFFICACY
血 E-DRUG_EFFICACY
。 0
用 0
于 0
急 0
、 0
慢 B-DISEASE_GROUP
性 M-DISEASE_GROUP
肾 M-DISEASE_GROUP
盂 M-DISEASE_GROUP
肾 M-DISEASE_GROUP
炎 E-DISEASE_GROUP
血 0
尿 0
， 0
肾 B-DISEASE_GROUP
小 M-DISEASE_GROUP
球 M-DISEASE_GROUP
肾 M-DISEASE_GROUP
炎 E-DISEASE_GROUP
血 0
尿 0
， 0
泌 B-DISEASE
尿 M-DISEASE
结 M-DISEASE
石 E-DISEASE
及 0
肾 B-DISEASE
挫 M-DISEASE
伤 E-DISEASE
引 0
起 0
的 0
血 B-SYMPTOM
尿 E-SYMPTOM
及 0
不 0
明 0
原 0
因 0
引 0
起 0
的 0
血 B-SYMPTOM
尿 E-SYMPTOM
， 0
亦 0
可 0
作 0
为 0
治 0
疗 0
泌 B-DISEASE_GROUP
尿 M-DISEASE_GROUP
系 M-DISEASE_GROUP
统 M-DISEASE_GROUP
肿 M-DISEASE_GROUP
瘤 E-DISEASE_GROUP
的 0
辅 0
助 0
药 0
物 0
。 0
