孕 B-PERSON_GROUP
妇 E-PERSON_GROUP
慎 0
用 0
。 0
尚 0
不 0
明 0
确 0
。 0
尚 0
不 0
明 0
确 0
。 0
口 0
服 0
。 0
饭 0
前 0
一 0
、 0
二 0
小 0
时 0
温 0
开 0
水 0
送 0
服 0
。 0
一 0
次 0
2 0
片 0
， 0
一 0
日 0
2 0
次 0
。 0
西 0
安 0
仁 0
仁 0
药 0
业 0
有 0
限 0
公 0
司 0
补 B-DRUG_EFFICACY
肾 E-DRUG_EFFICACY
， 0
益 B-DRUG_EFFICACY
气 M-DRUG_EFFICACY
益 M-DRUG_EFFICACY
血 E-DRUG_EFFICACY
， 0
安 B-DRUG_EFFICACY
神 M-DRUG_EFFICACY
明 M-DRUG_EFFICACY
目 E-DRUG_EFFICACY
， 0
乌 0
发 0
养 0
颜 0
， 0
强 B-DRUG_EFFICACY
身 M-DRUG_EFFICACY
健 M-DRUG_EFFICACY
体 E-DRUG_EFFICACY
人 B-DRUG_INGREDIENT
参 E-DRUG_INGREDIENT
、 0
鹿 B-DRUG_INGREDIENT
茸 E-DRUG_INGREDIENT
、 0
珍 B-DRUG_INGREDIENT
珠 E-DRUG_INGREDIENT
、 0
枸 0
杞 0
子 0
、 0
菟 B-DRUG_INGREDIENT
丝 M-DRUG_INGREDIENT
子 E-DRUG_INGREDIENT
枸 B-DRUG_INGREDIENT
杞 M-DRUG_INGREDIENT
子 E-DRUG_INGREDIENT
、 0
菟 0
丝 0
子 0
、 0
女 B-DRUG_INGREDIENT
贞 M-DRUG_INGREDIENT
子 E-DRUG_INGREDIENT
、 0
褚 B-DRUG_INGREDIENT
实 M-DRUG_INGREDIENT
子 E-DRUG_INGREDIENT
、 0
沙 B-DRUG_INGREDIENT
苑 M-DRUG_INGREDIENT
子 E-DRUG_INGREDIENT
、 0
肉 0
苁 0
蓉 0
、 0
五 B-DRUG_INGREDIENT
味 M-DRUG_INGREDIENT
子 E-DRUG_INGREDIENT
、 0
苍 B-DRUG_INGREDIENT
术 E-DRUG_INGREDIENT
( 0
米 0
泔 0
水 0
制 0
) 0
、 0
小 B-DRUG_INGREDIENT
麦 M-DRUG_INGREDIENT
胚 M-DRUG_INGREDIENT
芽 M-DRUG_INGREDIENT
粉 E-DRUG_INGREDIENT
非 0
处 0
方 0
药 0
物 0
（ 0
甲 0
类 0
） 0
