孕 B-PERSON_GROUP
妇 E-PERSON_GROUP
慎 0
用 0
。 0
国 0
家 0
医 0
保 0
目 0
录 0
（ 0
乙 0
类 0
） 0
口 0
服 0
。 0
大 0
片 0
一 0
次 0
4 0
片 0
， 0
小 0
片 0
一 0
次 0
6 0
片 0
， 0
一 0
日 0
3 0
次 0
。 0
3 0
0 0
～ 0
4 0
5 0
日 0
为 0
一 0
疗 0
程 0
。 0
尚 0
不 0
明 0
确 0
。 0
清 0
热 0
解 0
毒 0
， 0
清 B-DRUG_EFFICACY
利 M-DRUG_EFFICACY
湿 M-DRUG_EFFICACY
浊 E-DRUG_EFFICACY
， 0
理 B-DRUG_EFFICACY
气 M-DRUG_EFFICACY
活 M-DRUG_EFFICACY
血 E-DRUG_EFFICACY
， 0
消 B-DRUG_EFFICACY
炎 M-DRUG_EFFICACY
止 M-DRUG_EFFICACY
痛 E-DRUG_EFFICACY
， 0
祛 B-DRUG_EFFICACY
瘀 M-DRUG_EFFICACY
通 M-DRUG_EFFICACY
淋 E-DRUG_EFFICACY
。 0
用 0
于 0
急 B-DISEASE
性 M-DISEASE
前 M-DISEASE
列 M-DISEASE
腺 M-DISEASE
炎 E-DISEASE
、 0
前 B-DISEASE
列 M-DISEASE
腺 M-DISEASE
增 M-DISEASE
生 E-DISEASE
广 B-DRUG_INGREDIENT
东 M-DRUG_INGREDIENT
王 M-DRUG_INGREDIENT
不 M-DRUG_INGREDIENT
留 M-DRUG_INGREDIENT
行 E-DRUG_INGREDIENT
清 B-DRUG_EFFICACY
热 M-DRUG_EFFICACY
利 M-DRUG_EFFICACY
湿 E-DRUG_EFFICACY
、 0
祛 B-DRUG_EFFICACY
瘀 M-DRUG_EFFICACY
通 M-DRUG_EFFICACY
淋 E-DRUG_EFFICACY
， 0
用 0
于 0
前 B-DISEASE
列 M-DISEASE
腺 M-DISEASE
炎 E-DISEASE
广 0
西 0
华 0
天 0
宝 0
药 0
业 0
有 0
限 0
公 0
司 0
片 0
芯 0
重 0
0 0
. 0
2 0
6 0
g 0
尚 0
不 0
明 0
确 0
。 0
